basis,bitstring,probability
computational,0000,0.02
computational,0001,0.04
computational,0010,0.09
computational,0011,0.02
computational,0100,0.07
computational,0101,0.1
computational,0110,0.06
computational,0111,0.04
computational,1000,0.09
computational,1001,0.1
computational,1010,0.1
computational,1011,0.07
computational,1100,0.06
computational,1101,0.04
computational,1110,0.03
computational,1111,0.07
x_0,0000,0.05
x_0,0001,0.04
x_0,0010,0.07
x_0,0011,0.08
x_0,0100,0.1
x_0,0101,0.06
x_0,0110,0.05
x_0,0111,0.05
x_0,1000,0.04
x_0,1001,0.15
x_0,1010,0.03
x_0,1011,0.07
x_0,1100,0.09
x_0,1101,0.04
x_0,1110,0.05
x_0,1111,0.03
x_1,0000,0.01
x_1,0001,0.0
x_1,0010,0.21
x_1,0011,0.08
x_1,0100,0.13
x_1,0101,0.12
x_1,0110,0.01
x_1,0111,0.0
x_1,1000,0.12
x_1,1001,0.1
x_1,1010,0.01
x_1,1011,0.0
x_1,1100,0.0
x_1,1101,0.0
x_1,1110,0.1
x_1,1111,0.11
x_2,0000,0.01
x_2,0001,0.09
x_2,0010,0.08
x_2,0011,0.01
x_2,0100,0.18
x_2,0101,0.0
x_2,0110,0.0
x_2,0111,0.17
x_2,1000,0.02
x_2,1001,0.12
x_2,1010,0.16
x_2,1011,0.0
x_2,1100,0.05
x_2,1101,0.0
x_2,1110,0.0
x_2,1111,0.11
x_3,0000,0.04
x_3,0001,0.08
x_3,0010,0.06
x_3,0011,0.14
x_3,0100,0.05
x_3,0101,0.03
x_3,0110,0.05
x_3,0111,0.04
x_3,1000,0.1
x_3,1001,0.05
x_3,1010,0.06
x_3,1011,0.05
x_3,1100,0.11
x_3,1101,0.02
x_3,1110,0.07
x_3,1111,0.05
y_0,0000,0.17
y_0,0001,0.11
y_0,0010,0.09
y_0,0011,0.19
y_0,0100,0.0
y_0,0101,0.0
y_0,0110,0.0
y_0,0111,0.0
y_0,1000,0.01
y_0,1001,0.0
y_0,1010,0.02
y_0,1011,0.01
y_0,1100,0.06
y_0,1101,0.11
y_0,1110,0.11
y_0,1111,0.12
y_1,0000,0.07
y_1,0001,0.06
y_1,0010,0.07
y_1,0011,0.06
y_1,0100,0.06
y_1,0101,0.03
y_1,0110,0.01
y_1,0111,0.07
y_1,1000,0.09
y_1,1001,0.09
y_1,1010,0.05
y_1,1011,0.04
y_1,1100,0.09
y_1,1101,0.08
y_1,1110,0.06
y_1,1111,0.07
y_2,0000,0.04
y_2,0001,0.06
y_2,0010,0.02
y_2,0011,0.04
y_2,0100,0.11
y_2,0101,0.08
y_2,0110,0.07
y_2,0111,0.08
y_2,1000,0.09
y_2,1001,0.09
y_2,1010,0.06
y_2,1011,0.03
y_2,1100,0.01
y_2,1101,0.05
y_2,1110,0.07
y_2,1111,0.1
y_3,0000,0.2
y_3,0001,0.0
y_3,0010,0.0
y_3,0011,0.12
y_3,0100,0.16
y_3,0101,0.0
y_3,0110,0.0
y_3,0111,0.08
y_3,1000,0.15
y_3,1001,0.0
y_3,1010,0.0
y_3,1011,0.11
y_3,1100,0.11
y_3,1101,0.0
y_3,1110,0.0
y_3,1111,0.07
