"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Operational","ECR error","Gate length (ns)"
"0","209.23660380597272","54.486626258063865","4.7219092727694045","-0.31197865973435573","0.05224609375","0.01171875","0.05908203125","1300","0.0003290787859244949","60","0","0.0003290787859244949","0.0003290787859244949","Yes","",""
"1","205.63466579301462","290.1755383865935","4.815136914022277","-0.3097440319777085","0.022705078125","0.01806640625","0.02734375","1300","0.0004109644121800691","60","0","0.0004109644121800691","0.0004109644121800691","Yes","0:0.009172889489873826","0:660"
"2","291.6703434391306","307.5499114547631","4.609649001887859","-0.3090875180776862","0.053466796875","0.01318359375","0.0146484375","1300","0.00035949291871046875","60","0","0.00035949291871046875","0.00035949291871046875","Yes","1:0.008297668959619614","1:660"
"3","250.8898513455844","265.44515718562957","4.875552846361496","-0.30968652168552707","0.036865234375","0.0166015625","0.0625","1300","0.00012741752621423392","60","0","0.00012741752621423392","0.00012741752621423392","Yes","2:0.008112554734110766","2:660"
"4","270.42237676088644","268.69201632695143","4.818202380461365","-0.3103713081153928","0.0291748046875","0.0478515625","0.01806640625","1300","0.0001619794448422795","60","0","0.0001619794448422795","0.0001619794448422795","Yes","15:0.007306239266146097;3:0.00364578125071352;5:0.0026215065534401782","15:660;3:660;5:660"
"5","275.1164266354829","271.4719281129875","4.734136119565768","-0.3114518235315779","0.0164794921875","0.02734375","0.00830078125","1300","0.00010879304803617592","60","0","0.00010879304803617592","0.00010879304803617592","Yes","",""
"6","225.91352306153624","69.85562342530119","4.876266377523707","-0.30918835047116894","0.02880859375","0.0166015625","0.037109375","1300","0.00030102791970672185","60","0","0.00030102791970672185","0.00030102791970672185","Yes","5:0.006062619418402998;7:0.006531226602933954","5:660;7:660"
"7","133.26271857794723","182.6226055186137","4.967499395381469","-0.30745739300983294","0.0205078125","0.02197265625","0.015625","1300","0.00022166270571515666","60","0","0.00022166270571515666","0.00022166270571515666","Yes","8:0.010360789360430278","8:660"
"8","206.99521533986285","175.63580699182214","4.902447861552412","-0.30837827664687645","0.0150146484375","0.01318359375","0.0166015625","1300","0.0003802477208629309","60","0","0.0003802477208629309","0.0003802477208629309","Yes","9:0.00956498349374102","9:660"
"9","254.6617718625606","76.98030032603596","4.987243041357282","-0.3080310587566364","0.0137939453125","0.009765625","0.0107421875","1300","0.00021917635120330612","60","0","0.00021917635120330612","0.00021917635120330612","Yes","",""
