"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","450.6306386473765","400.77993544044745","4.655650081668959","-0.3110632460863657","0.0025999999999999357","0.0038000000000000256","0.0014","1244.4444444444443","0.00016165191356407388","0","0.00016165191356407388","0.00016165191356407388","0_1:0.0036667816825778354;0_14:0.00808321897509967","0_1:561.7777777777777;0_14:561.7777777777777","true"
"1","506.0829603868895","194.76163376725557","4.534962979065482","-0.31302980539784336","0.0039000000000000146","0.005800000000000027","0.002","1244.4444444444443","0.00013948716544780144","0","0.00013948716544780144","0.00013948716544780144","1_2:0.008317822899113675","1_2:561.7777777777777","true"
"2","259.1511255028588","134.7374572128113","4.680129768975921","-0.3092563684570482","0.007000000000000006","0.009000000000000008","0.005","1244.4444444444443","0.00019741959446012384","0","0.00019741959446012384","0.00019741959446012384","2_3:0.008685892309246185","2_3:561.7777777777777","true"
"3","368.4868201114499","163.79442927748775","4.606650575565058","-0.25135835423971303","0.010499999999999954","0.0118","0.009199999999999986","1244.4444444444443","0.00025807477588063633","0","0.00025807477588063633","0.00025807477588063633","","","true"
"4","299.7882569463429","147.90993207224375","4.462291821456238","-0.25507850560311957","0.013700000000000045","0.01759999999999995","0.0098","1244.4444444444443","0.0004945665788240606","0","0.0004945665788240606","0.0004945665788240606","4_3:0.01634443694627477;4_15:0.01287002953369551","4_3:561.7777777777777;4_15:561.7777777777777","true"
"5","419.5600176711626","408.09677087154677","4.426690641711383","-0.2804432142711162","0.030999999999999917","0.014399999999999968","0.0476","1244.4444444444443","0.00023625053269405873","0","0.00023625053269405873","0.00023625053269405873","5_4:0.007897992667595388","5_4:561.7777777777777","true"
"6","397.7612530071082","168.86312351066985","4.640086119988673","-0.3108103399516748","0.0017000000000000348","0.0028000000000000247","0.0006","1244.4444444444443","0.00012184580567204951","0","0.00012184580567204951","0.00012184580567204951","6_5:0.005466463481613615","6_5:561.7777777777777","true"
"7","383.8360638337979","539.286565224122","4.475696520068258","-0.2813271220492828","0.0017000000000000348","0.0026","0.0008000000000000229","1244.4444444444443","0.00014419221617775074","0","0.00014419221617775074","0.00014419221617775074","7_8:0.005176080176013759;7_6:0.016533526181455677","7_8:561.7777777777777;7_6:561.7777777777777","true"
"8","236.66555820366915","215.914858365955","4.401832948490572","-0.25507427876459826","0.01090000000000002","0.010800000000000032","0.011","1244.4444444444443","0.00032792942666694523","0","0.00032792942666694523","0.00032792942666694523","8_9:0.025323639096975464","8_9:561.7777777777777","true"
"9","448.83148384090174","373.8184523585991","4.519007102237986","-0.29730654926594685","0.010199999999999987","0.009800000000000031","0.0106","1244.4444444444443","0.00014905001449275955","0","0.00014905001449275955","0.00014905001449275955","","","true"
