"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","523.3577549723746","126.43636063433728","4.635662846425661","-0.3132760394092362","0.006099999999999994","0.006","0.006199999999999983","1216","0.00038769954795053936","0","0.00038769954795053936","0.00038769954795053936","","","true"
"1","339.36810579148283","340.45200906286954","4.736296869971339","-0.3129180725120383","0.015800000000000036","0.0204","0.011199999999999988","1216","0.00020264642900343435","0","0.00020264642900343435","0.00020264642900343435","1_2:0.005578964179263651;1_0:0.013209883672592487","1_2:533.3333333333333;1_0:533.3333333333333","true"
"2","224.27545028391125","173.37395371681907","4.819178499281037","-0.3112951524093254","0.014900000000000024","0.009600000000000053","0.0202","1216","0.00033602346257330124","0","0.00033602346257330124","0.00033602346257330124","","","true"
"3","54.679425365983434","63.61941495272406","4.747182082348841","-0.3111534699659636","0.018900000000000028","0.02080000000000004","0.017","1216","0.00024309938854397974","0","0.00024309938854397974","0.00024309938854397974","3_2:0.010535655197796479","3_2:533.3333333333333","true"
"4","242.13858750953472","158.4177389405408","4.787874618691494","-0.31094540176555985","0.016799999999999926","0.01100000000000001","0.0226","1216","0.000578387874099308","0","0.000578387874099308","0.000578387874099308","4_3:0.010818674088815428;4_15:0.007200890594221077","4_3:533.3333333333333;4_15:533.3333333333333","true"
"5","237.7849297714015","103.08385538208756","4.850837438806149","-0.31056606217183785","0.049800000000000066","0.008600000000000052","0.091","1216","0.00035379052426873627","0","0.00035379052426873627","0.00035379052426873627","5_4:0.012075782307704369","5_4:533.3333333333333","true"
"6","272.31250531699084","39.05067688375361","4.8995542684000535","-0.3090557835234433","0.07050000000000001","0.04459999999999997","0.0964","1216","0.0003608854890429205","0","0.0003608854890429205","0.0003608854890429205","6_5:0.007726611764568125","6_5:533.3333333333333","true"
"7","251.02437317716544","17.904839401296258","4.755796861500931","-0.31100390518358323","0.013299999999999979","0.014000000000000012","0.0126","1216","0.0017095319067811218","0","0.0017095319067811218","0.0017095319067811218","7_6:0.010662891520868856;7_8:0.018331322006865297","7_6:533.3333333333333;7_8:533.3333333333333","true"
"8","389.6866946775486","16.998834516229397","4.812595340291288","-0.31334511346081884","0.07390000000000008","0.0786","0.0692","1216","0.0004622001018641355","0","0.0004622001018641355","0.0004622001018641355","8_9:0.014156267504451564","8_9:533.3333333333333","true"
"9","464.2187463855685","72.04303830195431","4.638198814237326","-0.29264088813258476","0.028899999999999926","0.022599999999999953","0.0352","1216","0.0003017968455735309","0","0.0003017968455735309","0.0003017968455735309","","","true"
