basis,bitstring,probability
computational,0000,0.0601
computational,0001,0.0653
computational,0010,0.0633
computational,0011,0.0689
computational,0100,0.0713
computational,0101,0.0608
computational,0110,0.059
computational,0111,0.0625
computational,1000,0.064
computational,1001,0.0624
computational,1010,0.0583
computational,1011,0.065
computational,1100,0.0608
computational,1101,0.0591
computational,1110,0.0612
computational,1111,0.058
x_0,0000,0.0628
x_0,0001,0.0635
x_0,0010,0.0591
x_0,0011,0.0599
x_0,0100,0.0619
x_0,0101,0.0619
x_0,0110,0.0645
x_0,0111,0.0629
x_0,1000,0.0627
x_0,1001,0.0622
x_0,1010,0.0642
x_0,1011,0.0643
x_0,1100,0.0654
x_0,1101,0.0636
x_0,1110,0.0633
x_0,1111,0.0578
x_1,0000,0.0
x_1,0001,0.0
x_1,0010,0.1248
x_1,0011,0.1231
x_1,0100,0.1251
x_1,0101,0.1225
x_1,0110,0.0
x_1,0111,0.0
x_1,1000,0.1281
x_1,1001,0.1285
x_1,1010,0.0
x_1,1011,0.0
x_1,1100,0.0
x_1,1101,0.0
x_1,1110,0.12
x_1,1111,0.1279
x_2,0000,0.0
x_2,0001,0.134
x_2,0010,0.1214
x_2,0011,0.0
x_2,0100,0.1294
x_2,0101,0.0
x_2,0110,0.0
x_2,0111,0.1251
x_2,1000,0.0
x_2,1001,0.1212
x_2,1010,0.1169
x_2,1011,0.0
x_2,1100,0.1225
x_2,1101,0.0
x_2,1110,0.0
x_2,1111,0.1295
x_3,0000,0.057
x_3,0001,0.063
x_3,0010,0.0623
x_3,0011,0.0633
x_3,0100,0.0586
x_3,0101,0.0624
x_3,0110,0.064
x_3,0111,0.0586
x_3,1000,0.0615
x_3,1001,0.0636
x_3,1010,0.0633
x_3,1011,0.0633
x_3,1100,0.0665
x_3,1101,0.0647
x_3,1110,0.0633
x_3,1111,0.0646
y_0,0000,0.1228
y_0,0001,0.121
y_0,0010,0.1192
y_0,0011,0.1349
y_0,0100,0.0
y_0,0101,0.0
y_0,0110,0.0
y_0,0111,0.0
y_0,1000,0.0
y_0,1001,0.0
y_0,1010,0.0
y_0,1011,0.0
y_0,1100,0.1257
y_0,1101,0.1224
y_0,1110,0.1292
y_0,1111,0.1248
y_1,0000,0.0615
y_1,0001,0.0603
y_1,0010,0.0624
y_1,0011,0.0619
y_1,0100,0.0639
y_1,0101,0.0635
y_1,0110,0.0656
y_1,0111,0.0621
y_1,1000,0.0603
y_1,1001,0.0608
y_1,1010,0.059
y_1,1011,0.0624
y_1,1100,0.0646
y_1,1101,0.0662
y_1,1110,0.063
y_1,1111,0.0625
y_2,0000,0.0599
y_2,0001,0.0638
y_2,0010,0.0608
y_2,0011,0.0646
y_2,0100,0.0612
y_2,0101,0.0611
y_2,0110,0.0634
y_2,0111,0.0625
y_2,1000,0.0621
y_2,1001,0.067
y_2,1010,0.0691
y_2,1011,0.0596
y_2,1100,0.0592
y_2,1101,0.0578
y_2,1110,0.0663
y_2,1111,0.0616
y_3,0000,0.1221
y_3,0001,0.0
y_3,0010,0.0
y_3,0011,0.1272
y_3,0100,0.1256
y_3,0101,0.0
y_3,0110,0.0
y_3,0111,0.1249
y_3,1000,0.1291
y_3,1001,0.0
y_3,1010,0.0
y_3,1011,0.1256
y_3,1100,0.126
y_3,1101,0.0
y_3,1110,0.0
y_3,1111,0.1195
