basis,bitstring,probability
computational,0000,0.069
computational,0001,0.0599
computational,0010,0.0641
computational,0011,0.0603
computational,0100,0.0644
computational,0101,0.0621
computational,0110,0.0603
computational,0111,0.0638
computational,1000,0.0626
computational,1001,0.0614
computational,1010,0.0621
computational,1011,0.0626
computational,1100,0.0574
computational,1101,0.0651
computational,1110,0.0602
computational,1111,0.0647
x_0,0000,0.068
x_0,0001,0.0574
x_0,0010,0.0608
x_0,0011,0.0626
x_0,0100,0.062
x_0,0101,0.0583
x_0,0110,0.0621
x_0,0111,0.0612
x_0,1000,0.0625
x_0,1001,0.0646
x_0,1010,0.0631
x_0,1011,0.0658
x_0,1100,0.0579
x_0,1101,0.0662
x_0,1110,0.0647
x_0,1111,0.0628
x_1,0000,0.0
x_1,0001,0.0
x_1,0010,0.1233
x_1,0011,0.1265
x_1,0100,0.1238
x_1,0101,0.1255
x_1,0110,0.0
x_1,0111,0.0
x_1,1000,0.1203
x_1,1001,0.1262
x_1,1010,0.0
x_1,1011,0.0
x_1,1100,0.0
x_1,1101,0.0
x_1,1110,0.1265
x_1,1111,0.1279
x_2,0000,0.0
x_2,0001,0.1262
x_2,0010,0.1214
x_2,0011,0.0
x_2,0100,0.1253
x_2,0101,0.0
x_2,0110,0.0
x_2,0111,0.1228
x_2,1000,0.0
x_2,1001,0.1293
x_2,1010,0.1213
x_2,1011,0.0
x_2,1100,0.1259
x_2,1101,0.0
x_2,1110,0.0
x_2,1111,0.1278
x_3,0000,0.0593
x_3,0001,0.0631
x_3,0010,0.0646
x_3,0011,0.0608
x_3,0100,0.0646
x_3,0101,0.0662
x_3,0110,0.0656
x_3,0111,0.0612
x_3,1000,0.0651
x_3,1001,0.061
x_3,1010,0.0626
x_3,1011,0.0609
x_3,1100,0.0605
x_3,1101,0.0616
x_3,1110,0.0609
x_3,1111,0.062
y_0,0000,0.1258
y_0,0001,0.1287
y_0,0010,0.1288
y_0,0011,0.1204
y_0,0100,0.0
y_0,0101,0.0
y_0,0110,0.0
y_0,0111,0.0
y_0,1000,0.0
y_0,1001,0.0
y_0,1010,0.0
y_0,1011,0.0
y_0,1100,0.121
y_0,1101,0.1243
y_0,1110,0.1258
y_0,1111,0.1252
y_1,0000,0.0664
y_1,0001,0.0624
y_1,0010,0.0625
y_1,0011,0.0605
y_1,0100,0.064
y_1,0101,0.061
y_1,0110,0.063
y_1,0111,0.0643
y_1,1000,0.0647
y_1,1001,0.0595
y_1,1010,0.0632
y_1,1011,0.0618
y_1,1100,0.0595
y_1,1101,0.0647
y_1,1110,0.0619
y_1,1111,0.0606
y_2,0000,0.0648
y_2,0001,0.0653
y_2,0010,0.0647
y_2,0011,0.0617
y_2,0100,0.0616
y_2,0101,0.0626
y_2,0110,0.063
y_2,0111,0.0586
y_2,1000,0.0642
y_2,1001,0.0631
y_2,1010,0.0648
y_2,1011,0.0629
y_2,1100,0.0609
y_2,1101,0.0585
y_2,1110,0.0599
y_2,1111,0.0634
y_3,0000,0.1273
y_3,0001,0.0
y_3,0010,0.0
y_3,0011,0.1254
y_3,0100,0.1211
y_3,0101,0.0
y_3,0110,0.0
y_3,0111,0.1225
y_3,1000,0.1214
y_3,1001,0.0
y_3,1010,0.0
y_3,1011,0.1283
y_3,1100,0.133
y_3,1101,0.0
y_3,1110,0.0
y_3,1111,0.121
